Saudi Arabia | Cases: 841469| Recoveres: 0| Daths: 9646
Senegal | Cases: 89053| Recoveres: 87024| Daths: 1971
Serbia | Cases: 2615054| Recoveres: 2596608| Daths: 18057
Seychelles | Cases: 51220| Recoveres: 51048| Daths: 172
Sierra Leone | Cases: 7779| Recoveres: 0| Daths: 126
Singapore | Cases: 3006155| Recoveres: 3004131| Daths: 2024
Sint Maarten | Cases: 11051| Recoveres: 10905| Daths: 92
Slovakia | Cases: 1877605| Recoveres: 1856381| Daths: 21224
Slovenia | Cases: 1356546| Recoveres: 1349424| Daths: 7100
Solomon Islands | Cases: 25954| Recoveres: 0| Daths: 199
Somalia | Cases: 27334| Recoveres: 13182| Daths: 1361
South Africa | Cases: 4076463| Recoveres: 3912506| Daths: 102595
South Sudan | Cases: 18819| Recoveres: 18115| Daths: 147
Spain | Cases: 13914811| Recoveres: 13762417| Daths: 121760
Sri Lanka | Cases: 672754| Recoveres: 655852| Daths: 16897
St. Barth | Cases: 5507| Recoveres: 0| Daths: 6
Sudan | Cases: 63993| Recoveres: 58947| Daths: 5046
Suriname | Cases: 82588| Recoveres: 0| Daths: 1408
Swaziland | Cases: 75191| Recoveres: 73116| Daths: 1427
Sweden | Cases: 2754129| Recoveres: 2726492| Daths: 27407
Switzerland | Cases: 4453053| Recoveres: 4438309| Daths: 14452
Syrian Arab Republic | Cases: 57743| Recoveres: 54578| Daths: 3165
Taiwan | Cases: 10241523| Recoveres: 10222518| Daths: 19005
Tajikistan | Cases: 17786| Recoveres: 17264| Daths: 125
Tanzania | Cases: 43223| Recoveres: 0| Daths: 846
Thailand | Cases: 4770149| Recoveres: 4692636| Daths: 34586
Timor-Leste | Cases: 23460| Recoveres: 23102| Daths: 138
Togo | Cases: 39572| Recoveres: 39281| Daths: 290
Tokelau | Cases: 80| Recoveres: 0| Daths: 0
Tonga | Cases: 16950| Recoveres: 15638| Daths: 13
Trinidad and Tobago | Cases: 191496| Recoveres: 187078| Daths: 4390
Tunisia | Cases: 1153361| Recoveres: 0| Daths: 29423
Turkey | Cases: 17232066| Recoveres: 0| Daths: 102174
Turks and Caicos Islands | Cases: 6752| Recoveres: 6709| Daths: 40
Tuvalu | Cases: 2943| Recoveres: 0| Daths: 1
UAE | Cases: 1067030| Recoveres: 0| Daths: 2349
UK | Cases: 24910387| Recoveres: 24678275| Daths: 232112
USA | Cases: 111820082| Recoveres: 109814428| Daths: 1219487
Uganda | Cases: 172149| Recoveres: 100431| Daths: 3632
Ukraine | Cases: 5557995| Recoveres: 5445577| Daths: 112418
Uruguay | Cases: 1041111| Recoveres: 1030944| Daths: 7664
Uzbekistan | Cases: 253662| Recoveres: 241486| Daths: 1637
Vanuatu | Cases: 12019| Recoveres: 11976| Daths: 14
Venezuela | Cases: 552695| Recoveres: 546537| Daths: 5856
Vietnam | Cases: 11625195| Recoveres: 10640971| Daths: 43206
Wallis and Futuna | Cases: 3550| Recoveres: 438| Daths: 8
Western Sahara | Cases: 10| Recoveres: 9| Daths: 1
Yemen | Cases: 11945| Recoveres: 9124| Daths: 2159
Zambia | Cases: 349304| Recoveres: 341316| Daths: 4069
Zimbabwe | Cases: 266359| Recoveres: 258888| Daths: 5740
